Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SYNCBOX_V3I1.PrjPcb|ReportField=ProjectFullPath~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX_V3I1.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [SYNCBOX.PcbDoc]|ReportField=TotalQuantity~277|ReportField=ReportTime~7:45:39 PM|ReportField=ReportDate~8/16/2018|ReportField=ReportDateTime~8/16/2018 7:45:39 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Company~(c) 2018 Bogazici University www.boun.edu.tr|ReportField=NotFitted~NF|ReportField=Project~SYNCBOX|ReportField=VariantName~Default|ReportField=VersionRevision~V3I1|ReportField=ZERORESISTANCE~ZR|ReportField=DataSourceFileName~SYNCBOX.PcbDoc|ReportField=DataSourceFullPath~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100nF|CAP CER 0.1UF 50V X8R 0603|C0402|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}CL05A104KA5NNNC{URL.TIP}Manufacturer|Digi-Key|49
2|1000pF|CAP CER 1206 1NF 2000V X7R 10% F|C1206|{URL}{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}C1206X102KGRACAUTO{URL.TIP}Manufacturer|Digi-Key|2
3|10uF|CAP CER 10UF 35V JB 1206|CAP_3216|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}C3216JB1V106K160AB{URL.TIP}Manufacturer|Digi-Key|4
4|47uF|CAP ALUM POLY 47UF 20% 16V SMD|CAP_P-B|{URL}{URL.TEXT}Nichicon{URL.TIP}Component|{URL}{URL.TEXT}PCG1C470MCL1GS{URL.TIP}Manufacturer|Digi-Key|4
5|10u|CAP CER 10UF 6.3V X5R 20% 0603|C0603|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}C1608X5R0J106M080AB{URL.TIP}Manufacturer|Digi-Key|1
6|1uF|CAP CER 1UF 50V X8R 1206|CAP_3216|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}CGA5L3X8R1H105K160AB{URL.TIP}Manufacturer|Digi-Key|3
7|100uF|CAP CER 100UF 10V X5R 1210|C1210C|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}CL32A107MPVNNNE{URL.TIP}Manufacturer|Digi-Key|6
8|10n|CAP CER 10000PF 16V X7R 10% 0402|C0402|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}C1005X7R1C103K050BA{URL.TIP}Manufacturer|Digi-Key|1
9|22uF|CAP CER 22UF 16V X5R 0805|C0805|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}CL21A226MOCLRNC{URL.TIP}Manufacturer|Digi-Key|2
10|LED|LED RED DIFFUSED 0603 SMD, LED RED DIFFUSED 0603 SMD, LED RED DIFFUSED 0603 SMD, LED RED DIFFUSED 0603 SMD, LED COOL WHITE DIFFUSED 0603 SMD, LED COOL WHITE DIFFUSED 0603 SMD, LED COOL WHITE DIFFUSED 0603 SMD, LED COOL WHITE DIFFUSED 0603 SMD, LED COOL WHITE DIFFUSED 0603 SMD, LED COOL WHITE DIFFUSED 0603 SMD, LED RED DIFFUSED 0603 SMD, LED COOL WHITE DIFFUSED 0603 SMD, LED COOL WHITE DIFFUSED 0603 SMD|D0603_Directional|{URL}{URL.TEXT}OSRAM%20Opto%20Semiconductors%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}LS%20Q976-NR-1,%20LS%20Q976-NR-1,%20LS%20Q976-NR-1,%20LS%20Q976-NR-1,%20LW%20Q38E-Q1OO-3K6L-1,%20LW%20Q38E-Q1OO-3K6L-1,%20LW%20Q38E-Q1OO-3K6L-1,%20LW%20Q38E-Q1OO-3K6L-1,%20LW%20Q38E-Q1OO-3K6L-1,%20LW%20Q38E-Q1OO-3K6L-1,%20LS%20Q976-NR-1,%20LW%20Q38E-Q1OO-3K6L-1,%20LW%20Q38E-Q1OO-3K6L-1{URL.TIP}Manufacturer|Digi-Key|13
11|LS Q976-NR-1|LED RED DIFFUSED 0603 SMD|D0603_Directional|{URL}{URL.TEXT}OSRAM%20Opto%20Semiconductors%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}LS%20Q976-NR-1{URL.TIP}Manufacturer|Digi-Key|1
12|B560C-13-F|DIODE SCHOTTKY 60V 5A SMC|SMC|{URL}{URL.TEXT}Diodes%20Incorporated{URL.TIP}Component|{URL}{URL.TEXT}B560C-13-F{URL.TIP}Manufacturer|Digi-Key|2
13|ESD5V3U2U03FH6327XTSA1|TVS DIODE 5.3V 15V TSFP-3|PG-TSLP-3-7|{URL}{URL.TEXT}Infineon%20Technologies{URL.TIP}Component|{URL}{URL.TEXT}ESD5V3U2U03FH6327XTSA1{URL.TIP}Manufacturer|Digi-Key|7
14|BAS4002ARPPE6327HTSA1|DIODE BRIDGE 40V 200MA SOT 143|SOT143B|{URL}{URL.TEXT}Infineon%20Technologies{URL.TIP}Component|{URL}{URL.TEXT}BAS4002ARPPE6327HTSA1{URL.TIP}Manufacturer|Digi-Key|2
15|SMAJ12A|TVS DIODE 12V 19.9V SMA|SMA / DO-214AC|{URL}{URL.TEXT}Bourns%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}SMAJ12A{URL.TIP}Manufacturer|Digi-Key|1
16|BAT43WS-7-F|DIODE SCHOTTKY 30V 200MA SOT23-3|SOD323|{URL}{URL.TEXT}ON%20Semiconductor{URL.TIP}Component|{URL}{URL.TEXT}BAT54{URL.TIP}Manufacturer|Digi-Key|1
17|CDSOT23|TVS DIODE 24V 40V SOT23|SOT-23-3|{URL}{URL.TEXT}Bourns%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}CDSOT23-T24CAN{URL.TIP}Manufacturer|Digi-Key|3
18|1N4148|DIODE GEN PURP 100V 150MA SOD123|SOD123-L|{URL}{URL.TEXT}Micro%20Commercial%20Co{URL.TIP}Component|{URL}{URL.TEXT}1N4148W-TP{URL.TIP}Manufacturer|Digi-Key|2
19|NANOSMDC075F-2|PTC RESET FUSE 6V 750MA 1206|FUS_NANO_TYCO|{URL}{URL.TEXT}Littelfuse%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}NANOSMDC075F-2{URL.TIP}Manufacturer|Digi-Key|2
20|C1Q 1|FUSE BOARD MOUNT 1A 125VAC 63VDC|C1|{URL}{URL.TEXT}Bel%20Fuse%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}C1Q%201{URL.TIP}Manufacturer|Digi-Key|2
21|F1459TR-ND|FUSE BOARD MNT 4A 32VAC/VDC 1206|0466Series|{URL}{URL.TEXT}Littelfuse%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}0466004.NRHF{URL.TIP}Manufacturer|Digi-Key|1
22|220R, 2.5A|FERRITE CHIP 220 OHM 2500MA 0603|C0603|{URL}{URL.TEXT}Murata%20Electronics%20North%20America{URL.TIP}Component|{URL}{URL.TEXT}BLM18SG221TN1D{URL.TIP}Manufacturer|Digi-Key|1
23|742792114|FERRITE BEAD 50 OHM 1206 1LN|Ferrite bead|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%2520Inc.%26mpn%3D742792114%26seller%3DDigi-Key%26sku%3D732-1621-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics%20Inc.{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%2520Inc.%26mpn%3D742792114%26seller%3DDigi-Key%26sku%3D732-1621-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}742792114{URL.TIP}Manufacturer|Digi-Key|4
