Field=#~Integer~#~50|Field=Comment~String~Comment~137|Field=Description~String~Description~219|Field=Footprint~String~Footprint~221|Field=Manufacturer 1~String~Manufacturer 1~110|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~92|Field=Quantity~Integer~Quantity~20|Field=Supplier 1~String~Supplier 1~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SYNCBOX_V3I1.PrjPcb|ReportField=ProjectFullPath~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX_V3I1.PrjPcb|ReportField=Title~Bill of Materials For Project [SYNCBOX_V3I1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~286|ReportField=ReportTime~2:32:28 PM|ReportField=ReportDate~8/12/2018|ReportField=ReportDateTime~8/12/2018 2:32:28 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Company~(c) 2018 Bogazici University www.boun.edu.tr|ReportField=NotFitted~NF|ReportField=Project~SYNCBOX|ReportField=VariantName~Default|ReportField=VersionRevision~V3I1|ReportField=ZERORESISTANCE~ZR|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~KDS|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~8/12/2018|ReportField=CurrentTime~1:21:07 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX.SchDoc|ReportField=DocumentName~SYNCBOX.SchDoc|ReportField=DocumentNumber~0|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~8/3/2018|ReportField=Organization~KDS|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.07:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A3:PrintScaleMode=1|ReportField=ProjectName~SYNCBOX_V3I1.PrjPcb|ReportField=Revision~V1I1|ReportField=Rule~|ReportField=SheetNumber~0|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~SYNCBOX_V3I1.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX_V3I1.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100nF|CAP CER 0.1UF 50V X8R 0603|C0402|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}CL05A104KA5NNNC{URL.TIP}Manufacturer|49|Digi-Key
2|1000pF|CAP CER 1206 1NF 2000V X7R 10% F|C1206|{URL}{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}C1206X102KGRACAUTO{URL.TIP}Manufacturer|2|Digi-Key
3|10uF|CAP CER 10UF 35V JB 1206|CAP_3216|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}C3216JB1V106K160AB{URL.TIP}Manufacturer|4|Digi-Key
4|47uF|CAP ALUM POLY 47UF 20% 16V SMD|CAP_P-B|{URL}{URL.TEXT}Nichicon{URL.TIP}Component|{URL}{URL.TEXT}PCG1C470MCL1GS{URL.TIP}Manufacturer|4|Digi-Key
5|10u|CAP CER 10UF 6.3V X5R 20% 0603|C0603|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}C1608X5R0J106M080AB{URL.TIP}Manufacturer|1|Digi-Key
6|1uF|CAP CER 1UF 50V X8R 1206|CAP_3216|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}CGA5L3X8R1H105K160AB{URL.TIP}Manufacturer|3|Digi-Key
7|100uF|CAP CER 100UF 10V X5R 1210|C1210C|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}CL32A107MPVNNNE{URL.TIP}Manufacturer|6|Digi-Key
8|10n|CAP CER 10000PF 16V X7R 10% 0402|C0402|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}C1005X7R1C103K050BA{URL.TIP}Manufacturer|1|Digi-Key
9|22uF|CAP CER 22UF 16V X5R 0805|C0805|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}CL21A226MOCLRNC{URL.TIP}Manufacturer|2|Digi-Key
10|CCG022 Cable kit|CCG022 Cable kit||{URL}{URL.TEXT}Connect%20Tech%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|
11|Alfais AL-4617 Sata Power|Alfais AL-4617 Sata Power||{URL}{URL.TEXT}Alfais{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|
