;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 5/16/2016 11:21:33 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF00DEF3F  	GOTO        6782
_interrupt:
;syncbox.c,87 :: 		void interrupt(){
0x0008	0xF01EC000  	MOVFF       R0, 30
0x000C	0xF01DC001  	MOVFF       R1, 29
0x0010	0xF01CC002  	MOVFF       R2, 28
0x0014	0xF01BC003  	MOVFF       R3, 27
0x0018	0xF01AC004  	MOVFF       R4, 26
0x001C	0xF019C005  	MOVFF       R5, 25
0x0020	0xF018C008  	MOVFF       R8, 24
0x0024	0xF017C009  	MOVFF       R9, 23
0x0028	0xF016C00A  	MOVFF       R10, 22
0x002C	0xF015C00B  	MOVFF       R11, 21
;syncbox.c,89 :: 		USB_Interrupt_Proc();
0x0030	0xF027CFE1  	MOVFF       FSR1L, 39
0x0034	0xF028CFE2  	MOVFF       FSR1H, 40
0x0038	0xF025CFE9  	MOVFF       FSR0L, 37
0x003C	0xF026CFEA  	MOVFF       FSR0H, 38
0x0040	0xF023CFF3  	MOVFF       PROD, 35
0x0044	0xF024CFF4  	MOVFF       PRODH, 36
0x0048	0xF022CFF5  	MOVFF       TABLAT, 34
0x004C	0xF01FCFF8  	MOVFF       TBLPTRU, 31
0x0050	0xF020CFF7  	MOVFF       TBLPTRH, 32
0x0054	0xF021CFF6  	MOVFF       4086, 33
0x0058	0xF00BEC5E  	CALL        _USB_Interrupt_Proc, 0
;syncbox.c,91 :: 		if(TMR0IF_bit){
0x005C	0xA4F2      	BTFSS       TMR0IF_bit, BitPos(TMR0IF_bit+0) 
0x005E	0xD006      	BRA         L_interrupt0
;syncbox.c,92 :: 		TMR0IF_bit = 0;
0x0060	0x94F2      	BCF         TMR0IF_bit, BitPos(TMR0IF_bit+0) 
;syncbox.c,93 :: 		TMR0H         = 0xD8;
0x0062	0x0ED8      	MOVLW       216
0x0064	0x6ED7      	MOVWF       TMR0H 
;syncbox.c,94 :: 		TMR0L         = 0xF0;
0x0066	0x0EF0      	MOVLW       240
0x0068	0x6ED6      	MOVWF       TMR0L 
;syncbox.c,95 :: 		timer_sayac_0++;
0x006A	0x2A3F      	INCF        _timer_sayac_0, 1 
;syncbox.c,96 :: 		}
L_interrupt0:
;syncbox.c,97 :: 		if(TMR1IF_bit){
0x006C	0xA09E      	BTFSS       TMR1IF_bit, BitPos(TMR1IF_bit+0) 
0x006E	0xD005      	BRA         L_interrupt1
;syncbox.c,98 :: 		TMR1IF_bit = 0;
0x0070	0x909E      	BCF         TMR1IF_bit, BitPos(TMR1IF_bit+0) 
;syncbox.c,99 :: 		TMR1H = 0x3C;
0x0072	0x0E3C      	MOVLW       60
0x0074	0x6ECF      	MOVWF       TMR1H 
;syncbox.c,100 :: 		TMR1L = 0xB0;
0x0076	0x0EB0      	MOVLW       176
0x0078	0x6ECE      	MOVWF       TMR1L 
;syncbox.c,102 :: 		}
L_interrupt1:
;syncbox.c,103 :: 		if(TMR2IF_bit){
0x007A	0xB29E      	BTFSC       TMR2IF_bit, BitPos(TMR2IF_bit+0) 
;syncbox.c,104 :: 		TMR2IF_bit = 0;
0x007C	0x929E      	BCF         TMR2IF_bit, BitPos(TMR2IF_bit+0) 
;syncbox.c,106 :: 		}
L_interrupt2:
;syncbox.c,107 :: 		if(TMR3IF_bit){
0x007E	0xA2A1      	BTFSS       TMR3IF_bit, BitPos(TMR3IF_bit+0) 
0x0080	0xD005      	BRA         L_interrupt3
;syncbox.c,108 :: 		TMR3IF_bit = 0;
0x0082	0x92A1      	BCF         TMR3IF_bit, BitPos(TMR3IF_bit+0) 
;syncbox.c,109 :: 		TMR3H         = 0x3C;
0x0084	0x0E3C      	MOVLW       60
0x0086	0x6EB3      	MOVWF       TMR3H 
;syncbox.c,110 :: 		TMR3L         = 0xB0;
0x0088	0x0EB0      	MOVLW       176
0x008A	0x6EB2      	MOVWF       TMR3L 
;syncbox.c,112 :: 		}
L_interrupt3:
;syncbox.c,113 :: 		if(INT0F_bit){
0x008C	0xA2F2      	BTFSS       INT0F_bit, BitPos(INT0F_bit+0) 
0x008E	0xD003      	BRA         L_interrupt4
;syncbox.c,114 :: 		ready = 1;
0x0090	0x0E01      	MOVLW       1
0x0092	0x6E40      	MOVWF       _ready 
;syncbox.c,115 :: 		INT0F_bit = 0;
0x0094	0x92F2      	BCF         INT0F_bit, BitPos(INT0F_bit+0) 
;syncbox.c,116 :: 		}
L_interrupt4:
;syncbox.c,117 :: 		if(INT1F_bit){
0x0096	0xA0F0      	BTFSS       INT1F_bit, BitPos(INT1F_bit+0) 
0x0098	0xD003      	BRA         L_interrupt5
;syncbox.c,118 :: 		xray_on = 1;
0x009A	0x0E01      	MOVLW       1
0x009C	0x6E42      	MOVWF       _xray_on 
;syncbox.c,119 :: 		INT1F_bit = 0;
0x009E	0x90F0      	BCF         INT1F_bit, BitPos(INT1F_bit+0) 
;syncbox.c,120 :: 		}
L_interrupt5:
;syncbox.c,121 :: 		if(INT2F_bit){
0x00A0	0xB2F0      	BTFSC       INT2F_bit, BitPos(INT2F_bit+0) 
;syncbox.c,123 :: 		INT2F_bit = 0;
0x00A2	0x92F0      	BCF         INT2F_bit, BitPos(INT2F_bit+0) 
;syncbox.c,124 :: 		}
L_interrupt6:
;syncbox.c,128 :: 		}
L_end_interrupt:
L__interrupt132:
0x00A4	0xFFF5C022  	MOVFF       34, TABLAT
0x00A8	0xFFF8C01F  	MOVFF       31, TBLPTRU
0x00AC	0xFFF7C020  	MOVFF       32, TBLPTRH
0x00B0	0xFFF6C021  	MOVFF       33, 4086
0x00B4	0xFFF3C023  	MOVFF       35, PROD
0x00B8	0xFFF4C024  	MOVFF       36, PRODH
0x00BC	0xF000C01E  	MOVFF       30, R0
0x00C0	0xF001C01D  	MOVFF       29, R1
0x00C4	0xF002C01C  	MOVFF       28, R2
0x00C8	0xF003C01B  	MOVFF       27, R3
0x00CC	0xF004C01A  	MOVFF       26, R4
0x00D0	0xF005C019  	MOVFF       25, R5
0x00D4	0xF008C018  	MOVFF       24, R8
0x00D8	0xF009C017  	MOVFF       23, R9
0x00DC	0xF00AC016  	MOVFF       22, R10
0x00E0	0xF00BC015  	MOVFF       21, R11
0x00E4	0xFFE9C025  	MOVFF       37, FSR0L
0x00E8	0xFFEAC026  	MOVFF       38, FSR0H
0x00EC	0xFFE1C027  	MOVFF       39, FSR1L
0x00F0	0xFFE2C028  	MOVFF       40, FSR1H
0x00F4	0x0011      	RETFIE      1
; end of _interrupt
_Mul_16x16_U:
;__Lib_Math.c,440 :: 		
;__Lib_Math.c,447 :: 		
0x00F6	0x6A0B      	CLRF        R11, 0
;__Lib_Math.c,448 :: 		
0x00F8	0x6A0A      	CLRF        R10, 0
;__Lib_Math.c,449 :: 		
0x00FA	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,450 :: 		
0x00FC	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,451 :: 		
0x00FE	0x0204      	MULWF       R4, 0
;__Lib_Math.c,453 :: 		
0x0100	0xF009CFF4  	MOVFF       PRODH, R9
;__Lib_Math.c,454 :: 		
0x0104	0xF008CFF3  	MOVFF       PRODL, R8
;__Lib_Math.c,455 :: 		
0x0108	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,456 :: 		
0x010A	0x0205      	MULWF       R5, 0
;__Lib_Math.c,458 :: 		
0x010C	0xF00BCFF4  	MOVFF       PRODH, R11
;__Lib_Math.c,459 :: 		
0x0110	0xF00ACFF3  	MOVFF       PRODL, R10
;__Lib_Math.c,460 :: 		
0x0114	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,461 :: 		
0x0116	0x0205      	MULWF       R5, 0
;__Lib_Math.c,463 :: 		
0x0118	0x50F3      	MOVF        PRODL, 0, 0
;__Lib_Math.c,464 :: 		
0x011A	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,465 :: 		
0x011C	0x50F4      	MOVF        PRODH, 0, 0
;__Lib_Math.c,466 :: 		
0x011E	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,467 :: 		
0x0120	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,468 :: 		
