;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/17/2017 4:46:55 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF00BEF80  	GOTO        5888
_interrupt:
;SyncBox.c,146 :: 		void interrupt(){
0x0008	0xF01EC000  	MOVFF       R0, 30
0x000C	0xF01DC001  	MOVFF       R1, 29
0x0010	0xF01CC002  	MOVFF       R2, 28
0x0014	0xF01BC003  	MOVFF       R3, 27
0x0018	0xF01AC004  	MOVFF       R4, 26
0x001C	0xF019C005  	MOVFF       R5, 25
0x0020	0xF018C008  	MOVFF       R8, 24
0x0024	0xF017C009  	MOVFF       R9, 23
0x0028	0xF016C00A  	MOVFF       R10, 22
0x002C	0xF015C00B  	MOVFF       R11, 21
;SyncBox.c,148 :: 		USB_Interrupt_Proc();
0x0030	0xF025CFE1  	MOVFF       FSR1L, 37
0x0034	0xF026CFE2  	MOVFF       FSR1H, 38
0x0038	0xF023CFE9  	MOVFF       FSR0L, 35
0x003C	0xF024CFEA  	MOVFF       FSR0H, 36
0x0040	0xF022CFF5  	MOVFF       TABLAT, 34
0x0044	0xF01FCFF8  	MOVFF       TBLPTRU, 31
0x0048	0xF020CFF7  	MOVFF       TBLPTRH, 32
0x004C	0xF021CFF6  	MOVFF       4086, 33
0x0050	0xF00AEC39  	CALL        _USB_Interrupt_Proc, 0
;SyncBox.c,150 :: 		if(TMR0IF_bit){
0x0054	0xA4F2      	BTFSS       TMR0IF_bit, BitPos(TMR0IF_bit+0) 
0x0056	0xD008      	BRA         L_interrupt0
;SyncBox.c,151 :: 		TMR0IF_bit = 0;
0x0058	0x94F2      	BCF         TMR0IF_bit, BitPos(TMR0IF_bit+0) 
;SyncBox.c,152 :: 		TMR0H         = 0xD8;
0x005A	0x0ED8      	MOVLW       216
0x005C	0x6ED7      	MOVWF       TMR0H 
;SyncBox.c,153 :: 		TMR0L         = 0xF0;
0x005E	0x0EF0      	MOVLW       240
0x0060	0x6ED6      	MOVWF       TMR0L 
;SyncBox.c,154 :: 		timer_sayac_0++;
0x0062	0x0100      	MOVLB       0
0x0064	0x4B63      	INFSNZ      _timer_sayac_0, 1, 1
0x0066	0x2B64      	INCF        _timer_sayac_0+1, 1, 1
;SyncBox.c,155 :: 		}
L_interrupt0:
;SyncBox.c,156 :: 		if(TMR1IF_bit){
0x0068	0xA09E      	BTFSS       TMR1IF_bit, BitPos(TMR1IF_bit+0) 
0x006A	0xD005      	BRA         L_interrupt1
;SyncBox.c,157 :: 		TMR1IF_bit = 0;
0x006C	0x909E      	BCF         TMR1IF_bit, BitPos(TMR1IF_bit+0) 
;SyncBox.c,158 :: 		TMR1H = 0x3C;
0x006E	0x0E3C      	MOVLW       60
0x0070	0x6ECF      	MOVWF       TMR1H 
;SyncBox.c,159 :: 		TMR1L = 0xB0;
0x0072	0x0EB0      	MOVLW       176
0x0074	0x6ECE      	MOVWF       TMR1L 
;SyncBox.c,161 :: 		}
L_interrupt1:
;SyncBox.c,162 :: 		if(TMR2IF_bit){
0x0076	0xB29E      	BTFSC       TMR2IF_bit, BitPos(TMR2IF_bit+0) 
;SyncBox.c,163 :: 		TMR2IF_bit = 0;
0x0078	0x929E      	BCF         TMR2IF_bit, BitPos(TMR2IF_bit+0) 
;SyncBox.c,165 :: 		}
L_interrupt2:
;SyncBox.c,166 :: 		if(TMR3IF_bit){
0x007A	0xA2A1      	BTFSS       TMR3IF_bit, BitPos(TMR3IF_bit+0) 
0x007C	0xD005      	BRA         L_interrupt3
;SyncBox.c,167 :: 		TMR3IF_bit = 0;
0x007E	0x92A1      	BCF         TMR3IF_bit, BitPos(TMR3IF_bit+0) 
;SyncBox.c,168 :: 		TMR3H         = 0x3C;
0x0080	0x0E3C      	MOVLW       60
0x0082	0x6EB3      	MOVWF       TMR3H 
;SyncBox.c,169 :: 		TMR3L         = 0xB0;
0x0084	0x0EB0      	MOVLW       176
0x0086	0x6EB2      	MOVWF       TMR3L 
;SyncBox.c,171 :: 		}
L_interrupt3:
;SyncBox.c,172 :: 		if(INT0F_bit){
0x0088	0xA2F2      	BTFSS       INT0F_bit, BitPos(INT0F_bit+0) 
0x008A	0xD003      	BRA         L_interrupt4
;SyncBox.c,173 :: 		xray_on = 1;
0x008C	0x0E01      	MOVLW       1
0x008E	0x6E27      	MOVWF       _xray_on 
;SyncBox.c,174 :: 		INT0F_bit = 0;
0x0090	0x92F2      	BCF         INT0F_bit, BitPos(INT0F_bit+0) 
;SyncBox.c,175 :: 		}
L_interrupt4:
;SyncBox.c,176 :: 		if(INT1F_bit){
0x0092	0xA0F0      	BTFSS       INT1F_bit, BitPos(INT1F_bit+0) 
0x0094	0xD003      	BRA         L_interrupt5
;SyncBox.c,177 :: 		ready = 1;
0x0096	0x0E01      	MOVLW       1
0x0098	0x6E45      	MOVWF       _ready 
;SyncBox.c,178 :: 		INT1F_bit = 0;
0x009A	0x90F0      	BCF         INT1F_bit, BitPos(INT1F_bit+0) 
;SyncBox.c,179 :: 		}
L_interrupt5:
;SyncBox.c,180 :: 		if(INT2F_bit){
0x009C	0xB2F0      	BTFSC       INT2F_bit, BitPos(INT2F_bit+0) 
;SyncBox.c,182 :: 		INT2F_bit = 0;
0x009E	0x92F0      	BCF         INT2F_bit, BitPos(INT2F_bit+0) 
;SyncBox.c,183 :: 		}
L_interrupt6:
;SyncBox.c,187 :: 		}
L_end_interrupt:
L__interrupt72:
0x00A0	0xFFF5C022  	MOVFF       34, TABLAT
0x00A4	0xFFF8C01F  	MOVFF       31, TBLPTRU
0x00A8	0xFFF7C020  	MOVFF       32, TBLPTRH
0x00AC	0xFFF6C021  	MOVFF       33, 4086
0x00B0	0xF000C01E  	MOVFF       30, R0
0x00B4	0xF001C01D  	MOVFF       29, R1
0x00B8	0xF002C01C  	MOVFF       28, R2
0x00BC	0xF003C01B  	MOVFF       27, R3
0x00C0	0xF004C01A  	MOVFF       26, R4
0x00C4	0xF005C019  	MOVFF       25, R5
0x00C8	0xF008C018  	MOVFF       24, R8
0x00CC	0xF009C017  	MOVFF       23, R9
0x00D0	0xF00AC016  	MOVFF       22, R10
0x00D4	0xF00BC015  	MOVFF       21, R11
0x00D8	0xFFE9C023  	MOVFF       35, FSR0L
0x00DC	0xFFEAC024  	MOVFF       36, FSR0H
0x00E0	0xFFE1C025  	MOVFF       37, FSR1L
0x00E4	0xFFE2C026  	MOVFF       38, FSR1H
0x00E8	0x0011      	RETFIE      1
; end of _interrupt
__Lib_USB_genHID_USB_CB_Init_EP:
;__Lib_USB_genHID.c,4490 :: 		
;__Lib_USB_genHID.c,4491 :: 		
0x00EA	0x0E1E      	MOVLW       30
0x00EC	0x6E71      	MOVWF       UEP1 
;__Lib_USB_genHID.c,4493 :: 		
0x00EE	0x0E10      	MOVLW       __Lib_USB_genHID_BDT+16
0x00F0	0x0101      	MOVLB       1
0x00F2	0x6F24      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 1
0x00F4	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+16)
0x00F6	0x6F25      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+3, 1
;__Lib_USB_genHID.c,4494 :: 		
